Test,Animal,Treatment,Stage,Distance,Brazo abierto : time,Brazo cerrado : time,Centro+ : time,Sexo,Tratamiento
1,1-1,pre-CUMS,laberinto +,16.245,56.9,176.1,29.1,Macho,CUMS_fluox
2,2-1,pre-CUMS,laberinto +,17.976,38.8,195.6,23.3,Macho,CUMS_fluox
3,3-1,pre-CUMS,laberinto +,13.399,58.5,157.1,40.2,Macho,CUMS_fluox
4,4-1,pre-CUMS,laberinto +,16.361,43.2,179.5,39.4,Macho,CUMS_fluox
5,1-2,pre-CUMS,laberinto +,13.686,68.2,162,21.7,Macho,CUMS_fluox
6,2-2,pre-CUMS,laberinto +,16.6,29.3,188.1,24.2,Macho,CUMS_ctrl
7,3-2,pre-CUMS,laberinto +,16.074,26.8,216.1,19.1,Macho,CUMS_ctrl
8,1-A,pre-CUMS,laberinto +,15.453,42,194.6,29,Hembra,CUMS_ctrl
9,2-A,pre-CUMS,laberinto +,11.205,35.1,207.5,10.3,Hembra,CUMS_ctrl
10,3-A,pre-CUMS,laberinto +,14.722,48.5,183.5,28.6,Hembra,CUMS_ctrl
11,4-A,pre-CUMS,laberinto +,16.398,42.8,183.3,28,Hembra,CUMS_ctrl
12,1-B,pre-CUMS,laberinto +,11.227,17.5,218,18.1,Hembra,CUMS_fluox
13,2-B,pre-CUMS,laberinto +,16.76,38.4,207,19.3,Hembra,CUMS_fluox
14,3-B,pre-CUMS,laberinto +,19.769,17,221.5,21.7,Hembra,CUMS_fluox
15,4-B,pre-CUMS,laberinto +,3.928,15.8,256.3,3.8,Hembra,CUMS_fluox
16,11,post-CUMS,laberinto +,13.148,32.5,226.6,11.5,Macho,CUMS_fluox
17,21,post-CUMS,laberinto +,19.054,11.6,252.9,11.5,Macho,CUMS_fluox
18,31,post-CUMS,laberinto +,11.639,21.4,230.2,17.6,Macho,CUMS_fluox
19,41,post-CUMS,laberinto +,13.853,0.2,265.7,9.8,Macho,CUMS_fluox
20,12,post-CUMS,laberinto +,13.866,43,197.1,21.7,Macho,CUMS_ctrl
21,22,post-CUMS,laberinto +,19.754,30,232,10.6,Macho,CUMS_ctrl
22,32,post-CUMS,laberinto +,15.421,7.5,234.6,27.1,Macho,CUMS_ctrl
23,1A,post-CUMS,laberinto +,15.651,39.7,214.3,13,Hembra,CUMS_ctrl
24,2A,post-CUMS,laberinto +,12.054,27.1,234.5,11.5,Hembra,CUMS_ctrl
25,3A,post-CUMS,laberinto +,16.227,31.1,209.9,22.9,Hembra,CUMS_ctrl
26,4A,post-CUMS,laberinto +,5.699,2.3,275.8,7.9,Hembra,CUMS_ctrl
27,1B,post-CUMS,laberinto +,7.969,20.2,249.7,12.7,Hembra,CUMS_fluox
28,2B,post-CUMS,laberinto +,11.143,8.9,264,4.3,Hembra,CUMS_fluox
29,3B,post-CUMS,laberinto +,16.186,0,268.5,12.5,Hembra,CUMS_fluox
30,4B,post-CUMS,laberinto +,17.269,27.6,213.5,27.1,Hembra,CUMS_fluox
