Treatment,Stage,Distance,cuadrante_blanco,cuadrante_opuestos,annulus_cruces_blanco,annulus_cruces_antiguo,annulus_dist_promedio_blanco,annulus_dist_promedio_antiguo
CUMS_Fluox,prueba_1,13.275,38.1,7.3,8,,0.246,
CUMS_Fluox,prueba_1,13.672,29.4,10.2,8,,0.277,
CUMS_Fluox,prueba_1,13.685,31.8,9.4,8,,0.257,
CUMS_Fluox,prueba_1,13.849,27.6,10.8333333333333,6,,0.284,
CUMS_ctrl,prueba_1,14.013,20.8,13.0666666666667,5,,0.355,
CUMS_ctrl,prueba_1,14.031,33.5,8.83333333333333,8,,0.259,
CUMS_ctrl,prueba_1,13.554,43.2,5.6,8,,0.194,
CUMS_ctrl,prueba_1,13.447,31.3,9.56666666666667,6,,0.279,
CUMS_ctrl,prueba_1,13.573,21.8,12.7,3,,0.302,
CUMS_ctrl,prueba_1,13.026,43,5.66666666666667,9,,0.214,
CUMS_ctrl,prueba_1,13.193,34.3,8.56666666666667,8,,0.262,
CUMS_Fluox,prueba_1,10.236,37.2,7.63333333333333,3,,0.233,
CUMS_Fluox,prueba_1,12.347,34,8.7,7,,0.254,
CUMS_Fluox,prueba_1,12.854,29.8,10.0666666666667,5,,0.274,
CUMS_Fluox,prueba_1,12.344,29.9,10.0333333333333,3,,0.267,
CUMS_Fluox,prueba_2,14.656,24.2,11.9333333333333,2,,0.377,
CUMS_Fluox,prueba_2,16.042,20.6,13.1666666666667,2,,0.382,
CUMS_Fluox,prueba_2,15.587,15.2,14.9333333333333,1,,0.488,
CUMS_Fluox,prueba_2,13.125,28.1,10.6333333333333,4,,0.359,
CUMS_ctrl,prueba_2,10.83,18.2,13.9333333333333,1,,0.394,
CUMS_ctrl,prueba_2,13.413,19.4,13.5333333333333,0,,0.413,
CUMS_ctrl,prueba_2,12.639,37.2,7.63333333333333,3,,0.247,
CUMS_ctrl,prueba_2,14.355,28.5,10.4666666666667,5,,0.339,
CUMS_ctrl,prueba_2,11.578,27.2,10.9666666666667,2,,0.339,
CUMS_ctrl,prueba_2,13.515,31.8,9.43333333333333,2,,0.342,
CUMS_ctrl,prueba_2,14.034,21.8,12.7333333333333,2,,0.397,
CUMS_Fluox,prueba_2,12.133,14.9,15.0333333333333,0,,0.447,
CUMS_Fluox,prueba_2,11.566,35.4,8.23333333333333,3,,0.317,
CUMS_Fluox,prueba_2,12.345,19.4,13.5333333333333,2,,0.434,
CUMS_Fluox,prueba_2,14.404,18.7,13.7666666666667,1,,0.494,
CUMS_ctrl,prueba_rev,12.01,11.6,16.1333333333333,1,2,0.392,0.427
CUMS_ctrl,prueba_rev,12.57,17.4,14.2,3,0,0.39,0.392
CUMS_ctrl,prueba_rev,11.126,43.6,5.5,10,0,0.222,0.566
CUMS_Fluox,prueba_rev,14.204,22.2,12.6,2,2,0.369,0.409
CUMS_Fluox,prueba_rev,14.925,28.3,10.5666666666667,9,1,0.356,0.481
CUMS_Fluox,prueba_rev,13.398,33.4,8.86666666666667,8,2,0.264,0.497
CUMS_Fluox,prueba_rev,14.74,6,18,0,6,0.464,0.312
CUMS_ctrl,prueba_rev,13.244,33.3,8.9,8,1,0.291,0.497
CUMS_ctrl,prueba_rev,11.795,33.9,8.66666666666667,8,1,0.238,0.533
CUMS_ctrl,prueba_rev,13.871,26.9,11.0666666666667,8,1,0.317,0.455
CUMS_ctrl,prueba_rev,13.673,33,9,9,1,0.254,0.485
CUMS_Fluox,prueba_rev,11.831,33.9,8.73333333333333,5,0,0.264,0.507
CUMS_Fluox,prueba_rev,11.545,32.5,9.16666666666667,3,0,0.257,0.488
CUMS_Fluox,prueba_rev,12.489,31.3,9.56666666666667,5,2,0.295,0.54
CUMS_Fluox,prueba_rev,14.497,30.7,9.76666666666667,8,0,0.299,0.51
